columna,problema,patron,conteo,porcentaje,archivo_muestras
codigo,doble_espacio,"\s{2,}",0,0.0,
codigo,parentesis,[()],0,0.0,
codigo,comillas_multiples,"""+",0,0.0,
codigo,caracteres_no_ascii,[^\x00-\x7F],0,0.0,
codigo,caracteres_no_numericos,[^0-9-],0,0.0,
telefono,doble_espacio,"\s{2,}",0,0.0,
telefono,parentesis,[()],0,0.0,
telefono,comillas_multiples,"""+",0,0.0,
telefono,caracteres_no_ascii,[^\x00-\x7F],0,0.0,
telefono,caracteres_no_numericos,[^0-9-],46,0.7,telefono_caracteres_no_numericos.csv
distrito,doble_espacio,"\s{2,}",0,0.0,
distrito,parentesis,[()],0,0.0,
distrito,comillas_multiples,"""+",0,0.0,
distrito,caracteres_no_ascii,[^\x00-\x7F],0,0.0,
direccion,doble_espacio,"\s{2,}",0,0.0,
direccion,parentesis,[()],23,0.35,direccion_parentesis.csv
direccion,comillas_multiples,"""+",221,3.35,direccion_comillas_multiples.csv
direccion,caracteres_no_ascii,[^\x00-\x7F],755,11.44,direccion_caracteres_no_ascii.csv
establecimiento,doble_espacio,"\s{2,}",0,0.0,
establecimiento,parentesis,[()],77,1.17,establecimiento_parentesis.csv
establecimiento,comillas_multiples,"""+",1576,23.88,establecimiento_comillas_multiples.csv
establecimiento,caracteres_no_ascii,[^\x00-\x7F],2078,31.49,establecimiento_caracteres_no_ascii.csv
